labeler,column,start_date,start_time,end_date,end_time,eat,drink,sleep,chinrest,ride,stand,stand_near_fence,gone,Estrus_stage,Hours_til_estrus
ARIS group 1,"cow-c
(black-pattern)",10/9/2023 0:00,12:00:00,11/9/2023 0:00,12:00:00,16702,1126,33528,0,0,23179,10636,0,non-estrus,156
ARIS group 1,"cow-a
(black)",10/9/2023 0:00,18:00:00,11/9/2023 0:00,18:00:00,15862,727,49768,13,0,12870,6633,0,non-estrus,72
ARIS group 1,"cow-b
(white-pattern)",10/9/2023 0:00,18:00:00,11/9/2023 0:00,18:00:00,12534,516,43325,0,0,25373,4125,0,non-estrus,624
ARIS group 1,"cow-c
(black-pattern)",10/9/2023 0:00,18:00:00,11/9/2023 0:00,18:00:00,16923,740,28938,0,0,32225,7047,0,non-estrus,162
ARIS group 1,"cow-a
(black)",11/9/2023 0:00,0:00:00,12/9/2023 0:00,0:00:00,17331,722,45463,13,0,14916,6565,0,non-estrus,66
ARIS group 1,"cow-b
(white-pattern)",11/9/2023 0:00,0:00:00,12/9/2023 0:00,0:00:00,12610,112,44838,0,0,23720,3730,0,non-estrus,618
ARIS group 1,"cow-c
(black-pattern)",11/9/2023 0:00,0:00:00,12/9/2023 0:00,0:00:00,18887,740,32165,0,0,27435,5783,0,non-estrus,120
ARIS group 1,"cow-a
(black)",11/9/2023 0:00,6:00:00,12/9/2023 0:00,6:00:00,17093,775,49125,13,0,13560,5794,0,non-estrus,60
ARIS group 1,"cow-b
(white-pattern)",11/9/2023 0:00,6:00:00,12/9/2023 0:00,6:00:00,12428,112,44315,0,0,26432,3073,0,non-estrus,612
ARIS group 1,"cow-c
(black-pattern)",11/9/2023 0:00,6:00:00,12/9/2023 0:00,6:00:00,18254,1704,34771,0,0,27489,4142,0,non-estrus,126
ARIS group 1,"cow-a
(black)",11/9/2023 0:00,12:00:00,12/9/2023 0:00,12:00:00,21772,908,42780,13,0,15540,4064,0,non-estrus,54
ARIS group 1,"cow-b
(white-pattern)",11/9/2023 0:00,12:00:00,12/9/2023 0:00,12:00:00,17223,60,41577,0,0,23022,3195,0,non-estrus,606
ARIS group 1,"cow-c
(black-pattern)",11/9/2023 0:00,12:00:00,12/9/2023 0:00,12:00:00,22698,3090,32419,0,0,24639,2231,0,non-estrus,132
ARIS group 1,"cow-a
(black)",11/9/2023 0:00,18:00:00,12/9/2023 0:00,18:00:00,22314,1282,43762,0,0,16051,2934,0,non-estrus,48
ARIS group 1,"cow-b
(white-pattern)",11/9/2023 0:00,18:00:00,12/9/2023 0:00,18:00:00,15530,1324,52046,0,0,15162,2281,0,non-estrus,600
ARIS group 1,"cow-c
(black-pattern)",11/9/2023 0:00,18:00:00,12/9/2023 0:00,18:00:00,25304,3101,34925,0,0,21305,1708,0,non-estrus,138
ARIS group 1,"cow-a
(black)",12/9/2023 0:00,0:00:00,12/9/2023 0:00,23:59:59,24183,2409,38421,0,0,16987,2917,0,non-estrus,42
ARIS group 1,"cow-b
(white-pattern)",12/9/2023 0:00,0:00:00,12/9/2023 0:00,23:59:59,19827,1588,43979,0,0,17242,2281,0,non-estrus,594
ARIS group 1,"cow-c
(black-pattern)",12/9/2023 0:00,0:00:00,12/9/2023 0:00,23:59:59,28070,2261,31324,0,0,21554,1708,0,non-estrus,96
ARIS group 2,"cow-a
(black)",13/9/2023,0:00:00,14/9/2023,0:00:00,20220,2934,36309,192,0,20536,6208,0,pre-estrus,12.04
ARIS group 2,"cow-b
(white-pattern)",13/9/2023,0:00:00,14/9/2023,0:00:00,18132,2564,46742,0,0,16818,2127,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",13/9/2023,0:00:00,14/9/2023,0:00:00,22112,1859,39822,0,0,14636,7970,0,non-estrus,59.17
ARIS group 2,"cow-a
(black)",13/9/2023,6:00:00,14/9/2023,6:00:00,20980,2890,32351,192,104,23467,6385,0,pre-estrus,6.04
ARIS group 2,"cow-b
(white-pattern)",13/9/2023,6:00:00,14/9/2023,6:00:00,18132,2466,45110,0,0,18603,2042,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",13/9/2023,6:00:00,14/9/2023,6:00:00,21906,933,41662,0,0,15065,6803,0,non-estrus,53.17
ARIS group 2,"cow-a
(black)",13/9/2023,12:00:00,14/9/2023,12:00:00,20945,3097,25600,197,274,30603,5608,0,pre-estrus,0.4
ARIS group 2,"cow-b
(white-pattern)",13/9/2023,12:00:00,14/9/2023,12:00:00,13271,1888,36766,0,0,33462,937,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",13/9/2023,12:00:00,14/9/2023,12:00:00,24032,1546,35688,0,0,22383,2675,0,non-estrus,47.17
ARIS group 2,"cow-a
(black)",13/9/2023,18:00:00,14/9/2023,18:00:00,14683,2955,20403,3480,1138,35987,7707,0,estrus,-5.96
ARIS group 2,"cow-b
(white-pattern)",13/9/2023,18:00:00,14/9/2023,18:00:00,4214,1868,37231,0,0,41005,2035,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",13/9/2023,18:00:00,14/9/2023,18:00:00,18554,2161,32729,0,0,29315,3594,0,non-estrus,41.17
ARIS group 2,"cow-a
(black)",14/9/2023,0:00:00,15/9/2023,0:00:00,14989,2635,21034,3989,1370,33085,9297,0,estrus,-11.96
ARIS group 2,"cow-b
(white-pattern)",14/9/2023,0:00:00,15/9/2023,0:00:00,4847,1699,32609,0,0,45429,1815,0,non-estrus,No data
ARIS group 2,"cow-c
(black-pattern)",14/9/2023,0:00:00,15/9/2023,0:00:00,23605,2185,26426,0,0,31747,2436,0,non-estrus,35.17
ARIS group 2,"cow-a
(black)",14/9/2023,6:00:00,15/9/2023,6:00:00,13650,2881,25697,3989,1281,29017,9779,0,estrus,-17.96
ARIS group 2,"cow-b
(white-pattern)",14/9/2023,6:00:00,15/9/2023,6:00:00,5234,1304,33987,0,0,43047,2722,0,non-estrus,No data
